STRING	STRING
Config_achievement_9_31	
Config_achievement_10_31	角色等级达到165级
Config_achievement_2_32	
Config_achievement_9_32	
Config_achievement_10_32	角色等级达到170级
Config_achievement_2_33	
Config_achievement_9_33	
Config_achievement_10_33	角色等级达到175级
Config_achievement_2_34	
Config_achievement_9_34	
Config_achievement_10_34	角色等级达到180级
Config_achievement_2_35	
Config_achievement_9_35	
Config_achievement_10_35	角色等级达到185级
Config_achievement_2_36	
Config_achievement_9_36	
Config_achievement_10_36	角色等级达到190级
Config_achievement_2_37	
Config_achievement_9_37	
Config_achievement_10_37	角色等级达到195级
Config_achievement_2_38	
Config_achievement_9_38	
Config_achievement_10_38	角色等级达到200级
Config_achievement_2_39	
Config_achievement_9_39	
Config_achievement_10_39	角色等级达到205级
Config_achievement_2_40	
Config_achievement_9_40	
Config_achievement_10_40	角色等级达到210级
Config_achievement_2_41	
Config_achievement_9_41	
Config_achievement_10_41	角色等级达到215级
Config_achievement_2_42	
Config_achievement_9_42	
Config_achievement_10_42	角色等级达到220级
Config_achievement_2_43	
Config_achievement_9_43	
Config_achievement_10_43	角色等级达到225级
Config_achievement_2_44	
Config_achievement_9_44	
Config_achievement_10_44	角色等级达到230级
Config_achievement_2_45	
Config_achievement_9_45	
Config_achievement_10_45	角色等级达到235级
Config_achievement_2_46	
Config_achievement_9_46	
Config_achievement_10_46	角色等级达到240级
Config_achievement_2_47	
Config_achievement_9_47	
Config_achievement_10_47	角色等级达到245级
Config_achievement_2_48	
Config_achievement_9_48	
Config_achievement_10_48	角色等级达到250级
Config_achievement_2_49	
Config_achievement_9_49	提升战力
Config_achievement_10_49	战斗力达到80000
Config_achievement_2_50	
Config_achievement_9_50	
Config_achievement_10_50	战斗力达到140000
Config_achievement_2_51	
Config_achievement_9_51	
Config_achievement_10_51	战斗力达到200000
Config_achievement_2_52	
Config_achievement_9_52	
Config_achievement_10_52	战斗力达到300000
Config_achievement_2_53	
Config_achievement_9_53	
Config_achievement_10_53	战斗力达到400000
Config_achievement_2_54	
Config_achievement_9_54	
Config_achievement_10_54	战斗力达到500000
Config_achievement_2_55	
Config_achievement_9_55	
Config_achievement_10_55	战斗力达到600000
Config_achievement_2_56	
Config_achievement_9_56	
Config_achievement_10_56	战斗力达到700000
Config_achievement_2_57	
Config_achievement_9_57	
Config_achievement_10_57	战斗力达到800000
Config_achievement_2_58	
Config_achievement_9_58	
Config_achievement_10_58	战斗力达到900000
Config_achievement_2_59	
Config_achievement_9_59	
Config_achievement_10_59	战斗力达到1000000
Config_achievement_2_60	
Config_achievement_9_60	
Config_achievement_10_60	战斗力达到1100000
Config_achievement_2_61	
Config_achievement_9_61	
Config_achievement_10_61	战斗力达到1200000
Config_achievement_2_62	
Config_achievement_9_62	
Config_achievement_10_62	战斗力达到1300000
Config_achievement_2_63	
Config_achievement_9_63	
Config_achievement_10_63	战斗力达到1400000
Config_achievement_2_64	
Config_achievement_9_64	
Config_achievement_10_64	战斗力达到1500000
Config_achievement_2_65	
Config_achievement_9_65	
Config_achievement_10_65	战斗力达到1600000
Config_achievement_2_66	
Config_achievement_9_66	
Config_achievement_10_66	战斗力达到1700000
Config_achievement_2_67	
Config_achievement_9_67	
Config_achievement_10_67	战斗力达到1800000
Config_achievement_2_68	
Config_achievement_9_68	
Config_achievement_10_68	战斗力达到1900000
Config_achievement_2_69	
Config_achievement_9_69	
Config_achievement_10_69	战斗力达到2000000
Config_achievement_2_70	
Config_achievement_9_70	
Config_achievement_10_70	战斗力达到2100000
Config_achievement_2_71	
Config_achievement_9_71	
Config_achievement_10_71	战斗力达到2200000
Config_achievement_2_72	
Config_achievement_9_72	
Config_achievement_10_72	战斗力达到2300000
Config_achievement_2_73	
Config_achievement_9_73	
Config_achievement_10_73	战斗力达到2400000
Config_achievement_2_74	
Config_achievement_9_74	
Config_achievement_10_74	战斗力达到2500000
Config_achievement_2_75	
Config_achievement_9_75	
Config_achievement_10_75	战斗力达到2600000
Config_achievement_2_76	
Config_achievement_9_76	
Config_achievement_10_76	战斗力达到2700000
Config_achievement_2_77	
Config_achievement_9_77	
Config_achievement_10_77	战斗力达到2800000
Config_achievement_2_78	
Config_achievement_9_78	
Config_achievement_10_78	战斗力达到2900000
Config_achievement_2_79	
Config_achievement_9_79	
Config_achievement_10_79	战斗力达到3000000
Config_achievement_2_80	
Config_achievement_9_80	
Config_achievement_10_80	战斗力达到3100000
Config_achievement_2_81	
Config_achievement_9_81	
Config_achievement_10_81	战斗力达到3200000
Config_achievement_2_82	
Config_achievement_9_82	
Config_achievement_10_82	战斗力达到3300000
Config_achievement_2_83	
Config_achievement_9_83	
Config_achievement_10_83	战斗力达到3400000
Config_achievement_2_84	
Config_achievement_9_84	
Config_achievement_10_84	战斗力达到3600000
Config_achievement_2_85	
Config_achievement_9_85	
Config_achievement_10_85	战斗力达到3800000
Config_achievement_2_86	
Config_achievement_9_86	
Config_achievement_10_86	战斗力达到4000000
Config_achievement_2_87	
Config_achievement_9_87	军衔
Config_achievement_10_87	军衔达到下士
Config_achievement_2_88	
Config_achievement_9_88	
Config_achievement_10_88	军衔达到中士
Config_achievement_2_89	
Config_achievement_9_89	
Config_achievement_10_89	军衔达到上士
Config_achievement_2_90	
Config_achievement_9_90	
Config_achievement_10_90	军衔达到少尉
Config_achievement_2_91	
Config_achievement_9_91	
Config_achievement_10_91	军衔达到中尉
Config_achievement_2_92	
Config_achievement_9_92	
Config_achievement_10_92	军衔达到上尉
Config_achievement_2_93	
Config_achievement_9_93	
Config_achievement_10_93	军衔达到少校
Config_achievement_2_94	
Config_achievement_9_94	
Config_achievement_10_94	军衔达到中校
Config_achievement_2_95	
Config_achievement_9_95	
Config_achievement_10_95	军衔达到上校
Config_achievement_2_96	
Config_achievement_9_96	
Config_achievement_10_96	军衔达到准将
Config_achievement_2_97	
Config_achievement_9_97	
Config_achievement_10_97	军衔达到少将
Config_achievement_2_98	
Config_achievement_9_98	
Config_achievement_10_98	军衔达到中将
Config_achievement_2_99	
Config_achievement_9_99	
Config_achievement_10_99	军衔达到上将
Config_achievement_2_100	
Config_achievement_9_100	
Config_achievement_10_100	军衔达到大将
Config_achievement_2_101	
Config_achievement_9_101	
Config_achievement_10_101	军衔达到元帅
Config_achievement_2_102	
Config_achievement_9_102	
Config_achievement_10_102	军衔达到大元帅
Config_achievement_2_103	
Config_achievement_9_103	舰船图鉴
Config_achievement_10_103	图鉴中累计获得20艘舰船
Config_achievement_2_104	
Config_achievement_9_104	
Config_achievement_10_104	图鉴中累计获得30艘舰船
Config_achievement_2_105	
Config_achievement_9_105	
Config_achievement_10_105	图鉴中累计获得40艘舰船
Config_achievement_2_106	
Config_achievement_9_106	
Config_achievement_10_106	图鉴中累计获得50艘舰船
Config_achievement_2_107	
Config_achievement_9_107	
Config_achievement_10_107	图鉴中累计获得60艘舰船
Config_achievement_2_108	
Config_achievement_9_108	
Config_achievement_10_108	图鉴中累计获得70艘舰船
Config_achievement_2_109	
Config_achievement_9_109	
Config_achievement_10_109	图鉴中累计获得80艘舰船
Config_achievement_2_110	
Config_achievement_9_110	
Config_achievement_10_110	图鉴中累计获得90艘舰船
Config_achievement_2_111	
Config_achievement_9_111	
Config_achievement_10_111	图鉴中累计获得100艘舰船
Config_achievement_2_112	
Config_achievement_9_112	
Config_achievement_10_112	图鉴中累计获得110艘舰船
Config_achievement_2_113	
Config_achievement_9_113	
Config_achievement_10_113	图鉴中累计获得120艘舰船
Config_achievement_2_114	
Config_achievement_9_114	
Config_achievement_10_114	图鉴中累计获得130艘舰船
Config_achievement_2_115	
Config_achievement_9_115	
Config_achievement_10_115	图鉴中累计获得140艘舰船
Config_achievement_2_116	
Config_achievement_9_116	
Config_achievement_10_116	图鉴中累计获得150艘舰船
Config_achievement_2_117	
Config_achievement_9_117	
Config_achievement_10_117	图鉴中累计获得160艘舰船
Config_achievement_2_118	
Config_achievement_9_118	
Config_achievement_10_118	图鉴中累计获得170艘舰船
Config_achievement_2_119	
Config_achievement_9_119	
Config_achievement_10_119	图鉴中累计获得180艘舰船
Config_achievement_2_120	
Config_achievement_9_120	
Config_achievement_10_120	图鉴中累计获得190艘舰船
Config_achievement_2_121	
Config_achievement_9_121	
Config_achievement_10_121	图鉴中累计获得206艘舰船
Config_achievement_2_122	战役
Config_achievement_9_122	普通战役通关
Config_achievement_10_122	通关普通战役第1章
Config_achievement_2_123	
Config_achievement_9_123	
Config_achievement_10_123	通关普通战役第2章
Config_achievement_2_124	
Config_achievement_9_124	
Config_achievement_10_124	通关普通战役第3章
Config_achievement_2_125	
Config_achievement_9_125	
Config_achievement_10_125	通关普通战役第4章
Config_achievement_2_126	
Config_achievement_9_126	
Config_achievement_10_126	通关普通战役第5章
Config_achievement_2_127	
Config_achievement_9_127	
Config_achievement_10_127	通关普通战役第6章
Config_achievement_2_128	
Config_achievement_9_128	
Config_achievement_10_128	通关普通战役第7章
Config_achievement_2_129	
Config_achievement_9_129	
Config_achievement_10_129	通关普通战役第8章
Config_achievement_2_130	
Config_achievement_9_130	
Config_achievement_10_130	通关普通战役第9章
Config_achievement_2_131	
Config_achievement_9_131	
Config_achievement_10_131	通关普通战役第10章
Config_achievement_2_132	
Config_achievement_9_132	
Config_achievement_10_132	通关普通战役第11章
Config_achievement_2_133	
Config_achievement_9_133	
Config_achievement_10_133	通关普通战役第12章
Config_achievement_2_134	
Config_achievement_9_134	
Config_achievement_10_134	通关普通战役第13章
Config_achievement_2_135	
Config_achievement_9_135	
Config_achievement_10_135	通关普通战役第14章
Config_achievement_2_136	
Config_achievement_9_136	
Config_achievement_10_136	通关普通战役第15章
Config_achievement_2_137	
Config_achievement_9_137	
Config_achievement_10_137	通关普通战役第16章
Config_achievement_2_138	
Config_achievement_9_138	
Config_achievement_10_138	通关普通战役第17章
Config_achievement_2_139	
Config_achievement_9_139	
Config_achievement_10_139	通关普通战役第18章
Config_achievement_2_140	
Config_achievement_9_140	
Config_achievement_10_140	通关普通战役第19章
Config_achievement_2_141	
Config_achievement_9_141	
Config_achievement_10_141	通关普通战役第20章
Config_achievement_2_142	
Config_achievement_9_142	
Config_achievement_10_142	通关普通战役第21章
Config_achievement_2_143	
Config_achievement_9_143	
Config_achievement_10_143	通关普通战役第22章
Config_achievement_2_144	
Config_achievement_9_144	
Config_achievement_10_144	通关普通战役第23章
Config_achievement_2_145	
Config_achievement_9_145	精英战役通关
Config_achievement_10_145	通关精英战役第1章
Config_achievement_2_146	
Config_achievement_9_146	
Config_achievement_10_146	通关精英战役第2章
Config_achievement_2_147	
Config_achievement_9_147	
Config_achievement_10_147	通关精英战役第3章
Config_achievement_2_148	
Config_achievement_9_148	
Config_achievement_10_148	通关精英战役第4章
Config_achievement_2_149	
Config_achievement_9_149	
Config_achievement_10_149	通关精英战役第5章
Config_achievement_2_150	
Config_achievement_9_150	
Config_achievement_10_150	通关精英战役第6章
Config_achievement_2_151	
Config_achievement_9_151	
Config_achievement_10_151	通关精英战役第7章
Config_achievement_2_152	
Config_achievement_9_152	
Config_achievement_10_152	通关精英战役第8章
Config_achievement_2_153	
Config_achievement_9_153	
Config_achievement_10_153	通关精英战役第9章
Config_achievement_2_154	
Config_achievement_9_154	
Config_achievement_10_154	通关精英战役第10章
Config_achievement_2_155	
Config_achievement_9_155	
Config_achievement_10_155	通关精英战役第11章
Config_achievement_2_156	
Config_achievement_9_156	
Config_achievement_10_156	通关精英战役第12章
Config_achievement_2_157	
Config_achievement_9_157	
Config_achievement_10_157	通关精英战役第13章
Config_achievement_2_158	
Config_achievement_9_158	
Config_achievement_10_158	通关精英战役第14章
Config_achievement_2_159	
Config_achievement_9_159	
Config_achievement_10_159	通关精英战役第15章
Config_achievement_2_160	
Config_achievement_9_160	
Config_achievement_10_160	通关精英战役第16章
Config_achievement_2_161	
Config_achievement_9_161	
Config_achievement_10_161	通关精英战役第17章
Config_achievement_2_162	
Config_achievement_9_162	
Config_achievement_10_162	通关精英战役第18章
Config_achievement_2_163	
Config_achievement_9_163	
Config_achievement_10_163	通关精英战役第19章
Config_achievement_2_164	
Config_achievement_9_164	
Config_achievement_10_164	通关精英战役第20章
Config_achievement_2_165	
Config_achievement_9_165	
Config_achievement_10_165	通关精英战役第21章
Config_achievement_2_166	
Config_achievement_9_166	
Config_achievement_10_166	通关精英战役第22章
Config_achievement_2_167	
Config_achievement_9_167	
Config_achievement_10_167	通关精英战役第23章
Config_achievement_2_168	争霸
Config_achievement_9_168	竞技场王者
Config_achievement_10_168	竞技场累计胜利1场
Config_achievement_2_169	
Config_achievement_9_169	
Config_achievement_10_169	竞技场累计胜利3场
Config_achievement_2_170	
Config_achievement_9_170	
Config_achievement_10_170	竞技场累计胜利10场
Config_achievement_2_171	
Config_achievement_9_171	
Config_achievement_10_171	竞技场累计胜利50场
Config_achievement_2_172	
Config_achievement_9_172	
Config_achievement_10_172	竞技场累计胜利100场
Config_achievement_2_173	
Config_achievement_9_173	
Config_achievement_10_173	竞技场累计胜利500场
Config_achievement_2_174	
Config_achievement_9_174	
Config_achievement_10_174	竞技场累计胜利1000场
Config_achievement_2_175	
Config_achievement_9_175	
Config_achievement_10_175	竞技场累计胜利2000场
Config_achievement_2_176	
Config_achievement_9_176	油田守卫者
Config_achievement_10_176	守卫油田最高抵抗10波敌人
Config_achievement_2_177	
Config_achievement_9_177	
Config_achievement_10_177	守卫油田最高抵抗20波敌人
Config_achievement_2_178	
Config_achievement_9_178	
Config_achievement_10_178	守卫油田最高抵抗30波敌人
Config_achievement_2_179	
Config_achievement_9_179	
Config_achievement_10_179	守卫油田最高抵抗40波敌人
Config_achievement_2_180	
Config_achievement_9_180	
Config_achievement_10_180	守卫油田最高抵抗50波敌人
Config_achievement_2_181	
Config_achievement_9_181	
Config_achievement_10_181	守卫油田最高抵抗60波敌人
Config_achievement_2_182	
Config_achievement_9_182	
Config_achievement_10_182	守卫油田最高抵抗70波敌人
Config_achievement_2_183	
Config_achievement_9_183	
Config_achievement_10_183	守卫油田最高抵抗80波敌人
Config_achievement_2_184	
Config_achievement_9_184	
Config_achievement_10_184	守卫油田最高抵抗90波敌人
Config_achievement_2_185	
Config_achievement_9_185	
Config_achievement_10_185	守卫油田最高抵抗100波敌人
Config_achievement_2_186	
Config_achievement_9_186	
Config_achievement_10_186	守卫油田最高抵抗110波敌人
Config_achievement_2_187	
Config_achievement_9_187	
Config_achievement_10_187	守卫油田最高抵抗120波敌人
Config_achievement_2_188	
Config_achievement_9_188	
Config_achievement_10_188	守卫油田最高抵抗130波敌人
Config_achievement_2_189	
Config_achievement_9_189	
Config_achievement_10_189	守卫油田最高抵抗140波敌人
Config_achievement_2_190	
Config_achievement_9_190	
Config_achievement_10_190	守卫油田最高抵抗150波敌人
Config_achievement_2_191	
Config_achievement_9_191	
Config_achievement_10_191	守卫油田最高抵抗160波敌人
Config_achievement_2_192	
Config_achievement_9_192	
Config_achievement_10_192	守卫油田最高抵抗170波敌人
Config_achievement_2_193	
Config_achievement_9_193	
Config_achievement_10_193	守卫油田最高抵抗180波敌人
Config_achievement_2_194	
Config_achievement_9_194	
Config_achievement_10_194	守卫油田最高抵抗190波敌人
Config_achievement_2_195	
Config_achievement_9_195	
Config_achievement_10_195	守卫油田最高抵抗200波敌人
Config_achievement_2_196	军团
Config_achievement_9_196	军团贡献
Config_achievement_10_196	军团贡献累计达到1000
Config_achievement_2_197	
Config_achievement_9_197	
Config_achievement_10_197	军团贡献累计达到5000
Config_achievement_2_198	
Config_achievement_9_198	
Config_achievement_10_198	军团贡献累计达到10000
Config_achievement_2_199	
Config_achievement_9_199	
Config_achievement_10_199	军团贡献累计达到20000
Config_achievement_2_200	
Config_achievement_9_200	
Config_achievement_10_200	军团贡献累计达到50000
Config_achievement_2_201	
Config_achievement_9_201	
Config_achievement_10_201	军团贡献累计达到100000
Config_achievement_2_202	
Config_achievement_9_202	好友成群
Config_achievement_10_202	好友人数达到5人
Config_achievement_2_203	
Config_achievement_9_203	
Config_achievement_10_203	好友人数达到10人
Config_achievement_2_204	
Config_achievement_9_204	
Config_achievement_10_204	好友人数达到15人
Config_achievement_2_205	
Config_achievement_9_205	
Config_achievement_10_205	好友人数达到20人
Config_achievement_2_206	
Config_achievement_9_206	
Config_achievement_10_206	好友人数达到25人
Config_achievement_2_207	
Config_achievement_9_207	
Config_achievement_10_207	好友人数达到30人
Config_achievement_2_208	
Config_achievement_9_208	
Config_achievement_10_208	好友人数达到35人
Config_achievement_2_209	
Config_achievement_9_209	
Config_achievement_10_209	好友人数达到40人
Config_achievement_2_210	
Config_achievement_9_210	
Config_achievement_10_210	好友人数达到45人
Config_achievement_2_211	
Config_achievement_9_211	
Config_achievement_10_211	好友人数达到50人
Config_achievement_2_212	
Config_achievement_9_212	勋章收集
Config_achievement_10_212	图鉴累计获得7种勋章
Config_achievement_2_213	
Config_achievement_9_213	
Config_achievement_10_213	图鉴累计获得9种勋章
Config_achievement_2_214	
Config_achievement_9_214	
Config_achievement_10_214	图鉴累计获得11种勋章
Config_achievement_2_215	
Config_achievement_9_215	
Config_achievement_10_215	图鉴累计获得13种勋章
Config_achievement_2_216	
Config_achievement_9_216	
Config_achievement_10_216	图鉴累计获得15种勋章
Config_achievement_2_217	
Config_achievement_9_217	
Config_achievement_10_217	图鉴累计获得17种勋章
Config_achievement_2_218	
Config_achievement_9_218	
Config_achievement_10_218	图鉴累计获得19种勋章
Config_achievement_2_219	
Config_achievement_9_219	
Config_achievement_10_219	图鉴累计获得21种勋章
Config_achievement_2_220	
Config_achievement_9_220	
Config_achievement_10_220	图鉴累计获得23种勋章
Config_achievement_2_221	
Config_achievement_9_221	
Config_achievement_10_221	图鉴累计获得25种勋章
Config_achievement_2_222	
Config_achievement_9_222	
Config_achievement_10_222	图鉴累计获得27种勋章
Config_achievement_2_223	
Config_achievement_9_223	舰长收集
Config_achievement_10_223	图鉴累计获得5名舰长
Config_achievement_2_224	
Config_achievement_9_224	
Config_achievement_10_224	图鉴累计获得10名舰长
Config_achievement_2_225	
Config_achievement_9_225	
Config_achievement_10_225	图鉴累计获得20名舰长
Config_achievement_2_226	
Config_achievement_9_226	
Config_achievement_10_226	图鉴累计获得30名舰长
Config_achievement_2_227	
Config_achievement_9_227	
Config_achievement_10_227	图鉴累计获得40名舰长
Config_achievement_2_228	
Config_achievement_9_228	
Config_achievement_10_228	图鉴累计获得50名舰长
Config_achievement_2_229	
Config_achievement_9_229	
Config_achievement_10_229	图鉴累计获得60名舰长
Config_achievement_2_230	
Config_achievement_9_230	
Config_achievement_10_230	图鉴累计获得70名舰长
Config_achievement_2_231	
Config_achievement_9_231	
Config_achievement_10_231	图鉴累计获得80名舰长
Config_achievement_2_232	
Config_achievement_9_232	
Config_achievement_10_232	图鉴累计获得90名舰长
Config_achievement_2_233	
Config_achievement_9_233	
Config_achievement_10_233	图鉴累计获得100名舰长
Config_achievement_2_234	
Config_achievement_9_234	战友互助
Config_achievement_10_234	赠送好友寻宝令80次
Config_achievement_2_235	
Config_achievement_9_235	
Config_achievement_10_235	赠送好友寻宝令220次
Config_achievement_2_236	
Config_achievement_9_236	
Config_achievement_10_236	赠送好友寻宝令420次
Config_achievement_2_237	
Config_achievement_9_237	
Config_achievement_10_237	赠送好友寻宝令710次
Config_achievement_2_238	
Config_achievement_9_238	
Config_achievement_10_238	赠送好友寻宝令1100次
Config_achievement_2_239	
Config_achievement_9_239	
Config_achievement_10_239	赠送好友寻宝令1600次
Config_achievement_2_240	
Config_achievement_9_240	
Config_achievement_10_240	赠送好友寻宝令2200次
Config_achievement_2_241	
Config_achievement_9_241	
Config_achievement_10_241	赠送好友寻宝令2900次
Config_achievement_2_242	
Config_achievement_9_242	
Config_achievement_10_242	赠送好友寻宝令3800次
Config_achievement_2_243	
Config_achievement_9_243	
Config_achievement_10_243	赠送好友寻宝令4800次
Config_achievement_2_244	
Config_achievement_9_244	
Config_achievement_10_244	赠送好友寻宝令6000次
Config_achievement_2_245	
Config_achievement_9_245	
Config_achievement_10_245	赠送好友寻宝令7300次
Config_achievement_2_246	
Config_achievement_9_246	
Config_achievement_10_246	赠送好友寻宝令8800次
Config_achievement_2_247	
Config_achievement_9_247	
Config_achievement_10_247	赠送好友寻宝令10500次
Config_achievement_2_248	
Config_achievement_9_248	
Config_achievement_10_248	赠送好友寻宝令12400次
Config_achievement_2_249	
Config_achievement_9_249	
Config_achievement_10_249	赠送好友寻宝令14500次
Config_achievement_2_250	
Config_achievement_9_250	
Config_achievement_10_250	赠送好友寻宝令16800次
Config_achievement_2_251	
Config_achievement_9_251	
Config_achievement_10_251	赠送好友寻宝令19000次
Config_achievement_2_252	
Config_achievement_9_252	
Config_achievement_10_252	赠送好友寻宝令22000次
Config_achievement_2_253	
Config_achievement_9_253	
Config_achievement_10_253	赠送好友寻宝令25000次
Config_achievement_2_254	
Config_achievement_9_254	夺宝奇兵
Config_achievement_10_254	累计夺宝150次
Config_achievement_2_255	
Config_achievement_9_255	
Config_achievement_10_255	累计夺宝430次
Config_achievement_2_256	
Config_achievement_9_256	
Config_achievement_10_256	累计夺宝800次
Config_achievement_2_257	
Config_achievement_9_257	
Config_achievement_10_257	累计夺宝1400次
Config_achievement_2_258	
Config_achievement_9_258	
Config_achievement_10_258	累计夺宝2200次
Config_achievement_2_259	
Config_achievement_9_259	
Config_achievement_10_259	累计夺宝3200次
Config_achievement_2_260	
Config_achievement_9_260	
Config_achievement_10_260	累计夺宝4400次
Config_achievement_2_261	
Config_achievement_9_261	
Config_achievement_10_261	累计夺宝5900次
Config_achievement_2_262	
Config_achievement_9_262	
Config_achievement_10_262	累计夺宝7600次
Config_achievement_2_263	
Config_achievement_9_263	
Config_achievement_10_263	累计夺宝9600次
Config_achievement_2_264	
Config_achievement_9_264	
Config_achievement_10_264	累计夺宝11900次
Config_achievement_2_265	
Config_achievement_9_265	
Config_achievement_10_265	累计夺宝14600次
Config_achievement_2_266	
Config_achievement_9_266	
Config_achievement_10_266	累计夺宝17700次
Config_achievement_2_267	
Config_achievement_9_267	
Config_achievement_10_267	累计夺宝21000次
Config_achievement_2_268	
Config_achievement_9_268	
Config_achievement_10_268	累计夺宝25000次
Config_achievement_2_269	
Config_achievement_9_269	
Config_achievement_10_269	累计夺宝29000次
Config_achievement_2_270	
Config_achievement_9_270	
Config_achievement_10_270	累计夺宝34000次
Config_achievement_2_271	
Config_achievement_9_271	
Config_achievement_10_271	累计夺宝39000次
Config_achievement_2_272	
Config_achievement_9_272	
Config_achievement_10_272	累计夺宝45000次
Config_achievement_2_273	
Config_achievement_9_273	
Config_achievement_10_273	累计夺宝51000次
Config_achievement_2_274	
Config_achievement_9_274	挑战七巨头次数
Config_achievement_10_274	累计挑战次数达到1次
Config_achievement_2_275	
Config_achievement_9_275	
Config_achievement_10_275	累计挑战次数达到10次
Config_achievement_2_276	
Config_achievement_9_276	
Config_achievement_10_276	累计挑战次数达到50次
Config_achievement_2_277	
Config_achievement_9_277	
Config_achievement_10_277	累计挑战次数达到100次
Config_achievement_2_278	
Config_achievement_9_278	
Config_achievement_10_278	累计挑战次数达到200次
Config_achievement_2_279	
Config_achievement_9_279	挑战七巨头排名
Config_achievement_10_279	挑战七巨头伤害排名进入前二十达到10次
Config_achievement_2_280	
Config_achievement_9_280	
Config_achievement_10_280	挑战七巨头伤害排名进入前二十达到50次
Config_achievement_2_281	
Config_achievement_9_281	
Config_achievement_10_281	挑战七巨头伤害排名进入前二十达到100次
Config_achievement_2_282	
Config_achievement_9_282	
Config_achievement_10_282	挑战七巨头伤害排名进入前二十达到200次
Config_achievement_2_283	
Config_achievement_9_283	挑战海盗的宝藏
Config_achievement_10_283	累计通关海盗的宝藏6次
Config_achievement_2_284	
Config_achievement_9_284	
Config_achievement_10_284	累计通关海盗的宝藏17次
Config_achievement_2_285	
Config_achievement_9_285	
Config_achievement_10_285	累计通关海盗的宝藏30次
Config_achievement_2_286	
Config_achievement_9_286	
Config_achievement_10_286	累计通关海盗的宝藏50次
Config_achievement_2_287	
Config_achievement_9_287	
Config_achievement_10_287	累计通关海盗的宝藏80次
Config_achievement_2_288	
Config_achievement_9_288	
Config_achievement_10_288	累计通关海盗的宝藏120次
Config_achievement_2_289	
Config_achievement_9_289	
Config_achievement_10_289	累计通关海盗的宝藏170次
Config_achievement_2_290	
Config_achievement_9_290	
Config_achievement_10_290	累计通关海盗的宝藏230次
Config_achievement_2_291	
Config_achievement_9_291	
Config_achievement_10_291	累计通关海盗的宝藏300次
Config_achievement_2_292	
Config_achievement_9_292	
Config_achievement_10_292	累计通关海盗的宝藏380次
Config_achievement_2_293	
Config_achievement_9_293	
Config_achievement_10_293	累计通关海盗的宝藏470次
Config_achievement_2_294	
Config_achievement_9_294	
Config_achievement_10_294	累计通关海盗的宝藏580次
Config_achievement_2_295	
Config_achievement_9_295	
Config_achievement_10_295	累计通关海盗的宝藏700次
Config_achievement_2_296	
Config_achievement_9_296	
Config_achievement_10_296	累计通关海盗的宝藏800次
Config_achievement_2_297	
Config_achievement_9_297	
Config_achievement_10_297	累计通关海盗的宝藏1000次
Config_achievement_2_298	
